time,src_user,dst_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
354,C2560$@DOM1,C2560$@DOM1,C612,C612,?,Network,LogOff,Success
359,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success
365,C585$@DOM1,C585$@DOM1,C586,C586,?,Network,LogOff,Success
372,C123$@DOM1,C123$@DOM1,C101,C101,?,Network,LogOff,Success
376,U195@DOM1,U195@DOM1,C1310,C612,?,?,TGS,Success
382,C4310$@DOM1,C4310$@DOM1,C467,C467,?,Network,LogOff,Success
389,C4027$@DOM1,C4027$@DOM1,C529,C529,?,Network,LogOff,Success
396,C1727$@DOM1,C1727$@DOM1,C1727,C1727,?,Network,LogOff,Success
403,C478$@DOM1,C478$@DOM1,C478,C586,Kerberos,Network,LogOn,Success
411,C579$@DOM1,C579$@DOM1,C586,C586,?,Network,LogOff,Success
418,ANONYMOUS LOGON@C529,ANONYMOUS LOGON@C529,C3215,C529,NTLM,Network,LogOn,Success
422,U71@DOM1,U71@DOM1,C1633,C1691,Kerberos,Network,LogOn,Success
428,C1207$@DOM1,C1207$@DOM1,C1207,C586,Kerberos,Network,LogOn,Success
433,U472@DOM1,U472@DOM1,C1065,C1065,?,Network,LogOff,Success
438,C5242$@DOM1,C5242$@DOM1,C5243,C1065,NTLM,Network,LogOn,Success
442,C743$@DOM1,C743$@DOM1,C743,C586,Kerberos,Network,LogOn,Success
447,C1431$@DOM1,C1431$@DOM1,C1431,C528,?,?,TGS,Success
452,C1114$@DOM1,C1114$@DOM1,C1085,C1085,?,Network,LogOff,Success
457,C4267$@DOM1,C4267$@DOM1,C529,C529,?,Network,LogOff,Success
462,C529$@DOM1,C529$@DOM1,C529,C529,Kerberos,Network,LogOn,Success
468,C3790$@DOM1,C3790$@DOM1,C528,C528,?,Network,LogOff,Success
474,C538$@DOM1,C538$@DOM1,C523,C523,?,Network,LogOff,Success
481,C599$@DOM1,C599$@DOM1,C988,C988,?,Network,LogOff,Success
488,LOCAL SERVICE@C3960,LOCAL SERVICE@C3960,C3960,C3960,Negotiate,Service,LogOn,Success
495,C528$@DOM1,C528$@DOM1,C1798,C528,Kerberos,Network,LogOn,Success
503,C373$@DOM1,C373$@DOM1,C586,C586,?,Network,LogOff,Success
510,U22@DOM1,U22@DOM1,C246,U22,?,?,TGS,Fail
517,NETWORK SERVICE@C2413,NETWORK SERVICE@C2413,C2413,C2413,Negotiate,Service,LogOn,Success
523,NETWORK SERVICE@C2413,NETWORK SERVICE@C2413,C2413,C2413,Negotiate,Service,LogOn,Success
527,C528$@DOM1,C528$@DOM1,C586,C586,?,Network,LogOff,Success
531,C2307$@DOM1,C2307$@DOM1,C2307,C612,Kerberos,Network,LogOn,Success
536,C1989$@DOM1,C1989$@DOM1,C1990,C1990,?,?,TGT,Success
542,C4192$@DOM1,C4192$@DOM1,C457,C457,?,Network,LogOff,Success
549,C4893$@DOM1,C4893$@DOM1,C4893,TGT,?,?,TGS,Success
555,C1850$@DOM1,C1850$@DOM1,C1851,C1851,?,?,TGT,Success
560,U262@DOM1,U262@DOM1,C529,C529,?,Network,LogOff,Success
567,C2443$@DOM1,C2443$@DOM1,C529,C529,?,Network,LogOff,Success
574,C187$@DOM1,C187$@DOM1,C187,C528,Kerberos,Network,LogOn,Success
580,C567$@DOM1,C567$@DOM1,C574,C1065,Kerberos,Network,LogOn,Success
588,C599$@DOM1,C599$@DOM1,C1619,C101,Kerberos,Network,LogOn,Success
594,C4771$@DOM1,C4771$@DOM1,C4771,C467,?,?,TGS,Success
599,C790$@DOM1,C790$@DOM1,C528,C528,?,Network,LogOff,Success
603,C842$@DOM1,C842$@DOM1,C842,C842,?,Network,LogOff,Success
609,C2079$@DOM1,C2079$@DOM1,C467,C467,?,Network,LogOff,Success
615,C4876$@DOM1,C4876$@DOM1,C1065,C1065,?,Network,LogOff,Success
621,C3155$@DOM1,SYSTEM@C3155,C3155,C3155,Negotiate,Service,LogOn,Success
628,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C1441,C586,NTLM,Network,LogOn,Success
633,C842$@DOM1,C842$@DOM1,C528,C528,?,Network,LogOff,Success
640,C2122$@DOM1,C2122$@DOM1,C2123,C2123,?,?,TGT,Success
645,U90@DOM1,U90@DOM1,C1786,C1786,?,?,TGS,Success
651,U111@DOM1,U111@DOM1,C1056,C1056,?,Network,LogOff,Success
656,U543@DOM1,U543@DOM1,C4927,C2310,?,?,AuthMap,Success
661,C2475$@DOM1,C2475$@DOM1,C2475,C586,Kerberos,Network,LogOn,Success
665,U14@DOM1,U14@DOM1,C426,C426,?,Network,LogOff,Success
670,C585$@DOM1,C585$@DOM1,C585,C586,Kerberos,Network,LogOn,Success
675,C553$@DOM1,C553$@DOM1,C553,C457,Kerberos,Network,LogOn,Success
680,C672$@DOM1,C672$@DOM1,C528,C528,?,Network,LogOff,Success
687,C5102$@DOM1,C5102$@DOM1,C5102,C457,Kerberos,Network,LogOn,Success
693,C723$@DOM1,C723$@DOM1,C586,C586,?,Network,LogOff,Success
700,C1085$@DOM1,C1085$@DOM1,C467,C467,?,Network,LogOff,Success
707,C4948$@DOM1,C4948$@DOM1,C4948,C4948,?,?,TGS,Success
714,C5006$@DOM1,C5006$@DOM1,C5006,C612,?,?,TGS,Success
720,U1842@DOM1,U1842@DOM1,C113,C113,?,Unlock,LogOff,Success
726,C854$@DOM1,C854$@DOM1,C467,C467,?,Network,LogOff,Success
732,C585$@DOM1,C585$@DOM1,C585,C586,Kerberos,Network,LogOn,Success
740,C1296$@DOM1,C1296$@DOM1,C586,C586,?,Network,LogOff,Success
746,C553$@DOM1,C553$@DOM1,C523,C523,?,Network,LogOff,Success
752,C2798$@DOM1,C2798$@DOM1,C2798,C586,?,?,TGS,Success
757,U22@DOM1,U22@DOM1,C1065,C1065,?,Network,LogOff,Success
762,U835@DOM1,U835@DOM1,C467,C467,?,Network,LogOff,Success
769,C2812$@DOM1,C2812$@DOM1,C2812,C586,Kerberos,Network,LogOn,Success
776,C5396$@DOM1,C5396$@DOM1,C5396,C528,Kerberos,Network,LogOn,Success
784,C5030$@DOM1,SYSTEM@C5030,C5030,C5030,Negotiate,Service,LogOn,Success
792,C1617$@DOM1,C1617$@DOM1,C1618,C625,Kerberos,Network,LogOn,Success
797,C2395$@DOM1,C2395$@DOM1,C2395,C2395,?,Network,LogOff,Success
803,U22@DOM1,U22@DOM1,C586,C586,?,Network,LogOff,Success
810,C126$@DOM1,C126$@DOM1,C2106,C2106,?,Network,LogOff,Success
816,C1114$@DOM1,C1114$@DOM1,C101,C101,?,Network,LogOff,Success
824,C2625$@DOM1,C2625$@DOM1,C625,C625,?,Network,LogOff,Success
830,C2075$@DOM1,C2075$@DOM1,C625,C625,?,Network,LogOff,Success
836,C4849$@DOM1,C4849$@DOM1,C529,C529,?,Network,LogOff,Success
841,U66@DOM1,U66@DOM1,C3017,C3017,Kerberos,Network,LogOn,Success
847,C3955$@DOM1,C3955$@DOM1,C3955,C457,Kerberos,Network,LogOn,Success
852,U194@DOM1,U194@DOM1,C4157,C586,Kerberos,Network,LogOn,Success
859,ANONYMOUS LOGON@C2743,ANONYMOUS LOGON@C2743,C2743,C2743,?,Network,LogOff,Success
866,U66@DOM1,U66@DOM1,C2890,C2890,?,Network,LogOff,Success
873,C2186$@DOM1,C2186$@DOM1,C1065,C1065,?,Network,LogOff,Success
878,C538$@DOM1,C538$@DOM1,C539,C101,Kerberos,Network,LogOn,Success
884,C2279$@DOM1,C2279$@DOM1,C2280,C457,?,?,TGS,Success
890,C3598$@DOM1,C3598$@DOM1,C1065,C1065,?,Network,LogOff,Success
896,C1721$@DOM1,C1721$@DOM1,C1721,C586,Kerberos,Network,LogOn,Success
901,U10@DOM1,U10@DOM1,C229,C229,Kerberos,Network,LogOn,Success
906,C5568$@DOM1,C5568$@DOM1,C5568,C5568,?,?,TGT,Success
911,C2410$@DOM1,C2410$@DOM1,C625,C625,?,Network,LogOff,Success
917,C1114$@DOM1,C1114$@DOM1,C553,C553,?,Network,LogOff,Success
922,U8@DOM1,U8@DOM1,C1644,C1644,?,?,TGT,Success
930,C5561$@DOM1,C5561$@DOM1,C529,C529,?,Network,LogOff,Success
937,C538$@DOM1,C538$@DOM1,C539,C101,Kerberos,Network,LogOn,Success
943,C1477$@DOM1,C1477$@DOM1,C1477,C529,Kerberos,Network,LogOn,Success
949,U94@DOM1,U94@DOM1,C7,C7,?,Network,LogOff,Success
957,C3556$@DOM1,C3556$@DOM1,C586,C586,?,Network,LogOff,Success
964,C2374$@DOM1,C2374$@DOM1,C2375,C586,Kerberos,Network,LogOn,Success
971,C2098$@DOM1,C2098$@DOM1,C2098,C612,Kerberos,Network,LogOn,Success
977,C24$@DOM1,C24$@DOM1,C24,C2162,Kerberos,Network,LogOn,Success
983,C4649$@DOM1,C4649$@DOM1,C4649,C1065,Kerberos,Network,LogOn,Success
989,C2753$@DOM1,C2753$@DOM1,C4407,C2752,?,?,TGS,Success
995,U965@DOM1,U965@DOM1,C294,C457,?,?,TGS,Success
1000,C880$@DOM1,C880$@DOM1,C467,C467,?,Network,LogOff,Success
1007,C2149$@DOM1,C2149$@DOM1,C467,C467,?,Network,LogOff,Success
1016,C2949$@DOM1,C2949$@DOM1,C2949,C528,Kerberos,Network,LogOn,Success
1021,U22@DOM1,U22@DOM1,C452,C586,Kerberos,Network,LogOn,Success
1028,C333$@DOM1,C333$@DOM1,C467,C467,?,Network,LogOff,Success
1035,C1135$@DOM1,C1135$@DOM1,C1135,C586,Kerberos,Network,LogOn,Success
1041,C599$@DOM1,C599$@DOM1,C553,C553,?,Network,LogOff,Success
1048,C1708$@DOM1,C1708$@DOM1,C1709,C1085,Kerberos,Network,LogOn,Success
1055,C599$@DOM1,C599$@DOM1,C553,C553,?,Network,LogOff,Success
1063,U1001@DOM1,U1001@DOM1,C362,C1640,?,?,TGS,Success
1068,C808$@DOM1,C808$@DOM1,C808,C586,Kerberos,Network,LogOn,Success
1074,U22@DOM1,U22@DOM1,C965,C457,Kerberos,Network,LogOn,Success
1081,C5577$@DOM1,C5577$@DOM1,C612,C612,?,Network,LogOff,Success
1087,U173@DOM1,U173@DOM1,C391,C528,Kerberos,Network,LogOn,Success
1094,C2115$@DOM1,C2115$@DOM1,C2115,C612,?,?,TGS,Success
1103,C3448$@DOM1,C3448$@DOM1,C3448,C1065,Kerberos,Network,LogOn,Success
1111,C5582$@DOM1,C5582$@DOM1,C5582,C586,?,?,TGS,Success
1118,C1320$@DOM1,C1320$@DOM1,C467,C467,?,Network,LogOff,Success
1125,U14@DOM1,U14@DOM1,C2022,C2022,?,Network,LogOff,Success
1134,C1105$@DOM1,C1105$@DOM1,C1105,C586,Kerberos,Network,LogOn,Success
1141,C567$@DOM1,C567$@DOM1,C574,C553,Kerberos,Network,LogOn,Success
1148,C2111$@DOM1,C2111$@DOM1,C612,C612,?,Network,LogOff,Success
1153,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success
1157,C811$@DOM1,C811$@DOM1,C811,C612,Kerberos,Network,LogOn,Success
1164,C1733$@DOM1,C1733$@DOM1,C625,C625,?,Network,LogOff,Success
1172,C1114$@DOM1,C1114$@DOM1,C523,C523,?,Network,LogOff,Success
1180,U118@DOM1,U164@DOM1,C1964,C1964,?,?,AuthMap,Success
1189,C585$@DOM1,C585$@DOM1,C585,C586,Kerberos,Network,LogOn,Success
1196,C123$@DOM1,C123$@DOM1,C527,C1065,Kerberos,Network,LogOn,Success
1202,C538$@DOM1,C538$@DOM1,C529,C529,?,Network,LogOff,Success
1209,C677$@DOM1,C677$@DOM1,C677,C586,Kerberos,Network,LogOn,Success
1216,C1916$@DOM1,C1916$@DOM1,C1917,C457,Kerberos,Network,LogOn,Success
1222,C1114$@DOM1,C1114$@DOM1,C1115,C101,Kerberos,Network,LogOn,Success
1227,U22@DOM1,U22@DOM1,C625,C625,?,Network,LogOff,Success
1232,C1681$@DOM1,C1681$@DOM1,C1681,C1681,?,?,TGS,Success
1235,C928$@DOM1,C928$@DOM1,C1065,C1065,?,Network,LogOff,Success
1240,C2111$@DOM1,C2111$@DOM1,C612,C612,?,Network,LogOff,Success
1245,C5841$@DOM1,C5841$@DOM1,C5841,C612,Kerberos,Network,LogOn,Success
1252,C2886$@DOM1,C2886$@DOM1,C528,C528,?,Network,LogOff,Success
1258,U75@DOM1,C467$@DOM1,C467,C467,?,?,AuthMap,Success
1265,C4195$@DOM1,C4195$@DOM1,C4195,C529,Kerberos,Network,LogOn,Success
1273,C1642$@DOM1,C1642$@DOM1,C467,C467,?,Network,LogOff,Success
1279,U2@DOM1,U2@DOM1,C7,C7,?,Network,LogOff,Success
1286,C1509$@DOM1,C1509$@DOM1,C457,C457,?,Network,LogOff,Success
1292,U14@DOM1,U14@DOM1,C2022,C2022,NTLM,Network,LogOn,Success
1299,C585$@DOM1,C585$@DOM1,C585,C586,Kerberos,Network,LogOn,Success
1306,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success
1313,C1708$@DOM1,C1708$@DOM1,C1709,C528,Kerberos,Network,LogOn,Success
1321,C1617$@DOM1,C1617$@DOM1,C1618,C988,NTLM,Network,LogOn,Success
1327,C1931$@DOM1,C1931$@DOM1,C1932,C457,?,?,TGS,Success
1334,U10770@DOM1,U10770@DOM1,C2109,C2109,?,?,TGT,Fail
1341,C1931$@DOM1,C1931$@DOM1,C467,C467,?,Network,LogOff,Success
1348,U63@DOM1,U63@DOM1,C1755,C1755,Kerberos,Network,LogOn,Success
1356,U1408@DOM1,U1408@DOM1,C5238,C1065,?,?,TGS,Success
1363,C9$@DOM1,C9$@DOM1,C586,C586,?,Network,LogOff,Success
1369,C4466$@DOM1,C4466$@DOM1,C528,C528,?,Network,LogOff,Success
1374,C1672$@DOM1,C1672$@DOM1,C586,C586,?,Network,LogOff,Success
1378,C523$@DOM1,C523$@DOM1,C625,C625,?,Network,LogOff,Success
1383,C104$@DOM1,C104$@DOM1,C553,C553,?,Network,LogOff,Success
1388,C2133$@DOM1,C2133$@DOM1,C457,C457,?,Network,LogOff,Success
1395,C1841$@DOM1,C1841$@DOM1,C1841,C586,Kerberos,Network,LogOn,Success
1402,U299@DOM1,U299@DOM1,C1145,C2327,?,?,TGS,Success
1410,C5613$@DOM1,C5613$@DOM1,C5613,C467,Kerberos,Network,LogOn,Success
1417,C4616$@DOM1,C4616$@DOM1,C586,C586,?,Network,LogOff,Success
1424,U1449@DOM1,U1449@DOM1,C528,C528,?,Network,LogOff,Success
1432,C627$@DOM1,C627$@DOM1,C627,C528,Kerberos,Network,LogOn,Success
1439,U94@DOM1,U94@DOM1,C7,C7,NTLM,Network,LogOn,Success
1445,C3305$@DOM1,C3305$@DOM1,C3305,C2106,Kerberos,Network,LogOn,Success
1450,C4204$@DOM1,C4204$@DOM1,C529,C529,?,Network,LogOff,Success
1456,C612$@DOM1,C612$@DOM1,C612,C625,Kerberos,Network,LogOn,Success
1464,C104$@DOM1,C104$@DOM1,C105,C104,?,?,TGS,Success
1470,C1672$@DOM1,C1672$@DOM1,C529,C529,?,Network,LogOff,Success
1477,C538$@DOM1,C538$@DOM1,C528,C528,?,Network,LogOff,Success
1485,C612$@DOM1,C612$@DOM1,C612,C612,?,Network,LogOff,Success
1494,U94@DOM1,U94@DOM1,C7,C7,NTLM,Network,LogOn,Success
1502,U309@DOM1,U309@DOM1,C528,C528,?,Network,LogOff,Success
1509,C123$@DOM1,C123$@DOM1,C523,C523,?,Network,LogOff,Success
1514,U22@DOM1,U22@DOM1,C586,C586,?,Network,LogOff,Success
1520,C2649$@DOM1,C2649$@DOM1,C2649,C457,NTLM,Network,LogOn,Fail
1527,C83$@DOM1,C83$@DOM1,C612,C612,?,Network,LogOff,Success
1533,C3422$@DOM1,C3422$@DOM1,C528,C528,?,Network,LogOff,Success
1538,C538$@DOM1,C538$@DOM1,C101,C101,?,Network,LogOff,Success
1544,U483@DOM1,U483@DOM1,C1554,C529,Kerberos,Network,LogOn,Success
1550,C3627$@DOM1,C3627$@DOM1,C3627,C612,Kerberos,Network,LogOn,Success
1556,C1112$@DOM1,C1112$@DOM1,C529,C529,?,Network,LogOff,Success
1561,C586$@DOM1,C586$@DOM1,C586,C586,?,Network,LogOff,Success
1567,C4365$@DOM1,C4365$@DOM1,C4365,C467,Kerberos,Network,LogOn,Success
1574,C2401$@DOM1,C2401$@DOM1,C2402,C457,?,?,TGS,Success
1581,C2322$@DOM1,C2322$@DOM1,C457,C457,?,Network,LogOff,Success
1587,U75@DOM1,U75@DOM1,C1710,C1710,?,?,TGT,Success
1593,C4412$@DOM1,C4412$@DOM1,C4412,C529,Kerberos,Network,LogOn,Success
1600,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C895,C586,NTLM,Network,LogOn,Success
1607,C1253$@DOM1,C1253$@DOM1,C1253,C457,NTLM,Network,LogOn,Success
1613,C529$@DOM1,C529$@DOM1,C529,C529,?,Network,LogOff,Success
1618,C1946$@DOM1,C1946$@DOM1,C625,C625,?,Network,LogOff,Success
1623,C2527$@DOM1,C2527$@DOM1,C612,C612,?,Network,LogOff,Success
1629,C511$@DOM1,C511$@DOM1,C511,C457,Kerberos,Network,LogOn,Success
1636,C585$@DOM1,C585$@DOM1,C586,C586,?,Network,LogOff,Success
1642,C5632$@DOM1,C5632$@DOM1,C5632,C467,Kerberos,Network,LogOn,Success
1649,ANONYMOUS LOGON@C1909,ANONYMOUS LOGON@C1909,C1909,C1909,?,Network,LogOff,Success
1654,C2646$@DOM1,C2646$@DOM1,C2646,C529,Kerberos,Network,LogOn,Success
1659,C862$@DOM1,C862$@DOM1,C529,C529,?,Network,LogOff,Success
1666,C5626$@DOM1,C5626$@DOM1,C586,C586,?,Network,LogOff,Success
1673,U194@DOM1,U194@DOM1,C470,C1640,?,?,TGS,Success
1680,C599$@DOM1,C599$@DOM1,C1619,C101,Kerberos,Network,LogOn,Success
1687,C5349$@DOM1,C5349$@DOM1,C5349,C528,Kerberos,Network,LogOn,Success
1694,C1001$@DOM1,C1001$@DOM1,C625,C625,?,Network,LogOff,Success
1700,C3031$@DOM1,C3031$@DOM1,C625,C625,?,Network,LogOff,Success
1706,C3391$@DOM1,C3391$@DOM1,C3391,C586,Kerberos,Network,LogOn,Success
1713,C123$@DOM1,C123$@DOM1,C467,C467,?,Network,LogOff,Success
1719,U7@DOM1,U7@DOM1,C61,C61,Kerberos,Network,LogOn,Success
1726,C567$@DOM1,C567$@DOM1,C101,C101,?,Network,LogOff,Success
1733,U200@DOM1,U199@DOM1,C1929,C1929,?,?,AuthMap,Success
1739,U66@DOM1,U66@DOM1,C1952,C1952,?,Network,LogOff,Success
1746,C2179$@DOM1,C2179$@DOM1,C2180,C2180,?,?,TGT,Success
1754,C123$@DOM1,C123$@DOM1,C527,C101,Kerberos,Network,LogOn,Success
1760,U13@DOM1,U13@DOM1,C368,C368,NTLM,Network,LogOn,Success
1767,NETWORK SERVICE@C4608,NETWORK SERVICE@C4608,C4608,C4608,Negotiate,Service,LogOn,Success
1773,C743$@DOM1,C743$@DOM1,C743,C586,Kerberos,Network,LogOn,Success
1779,C1745$@DOM1,C1745$@DOM1,C1745,C625,Kerberos,Network,LogOn,Success
1786,C2449$@DOM1,C2449$@DOM1,C457,C457,?,Network,LogOff,Success
1795,C1332$@DOM1,C1332$@DOM1,C1332,C457,Kerberos,Network,LogOn,Success
1801,U78@DOM1,U78@DOM1,C1727,C1727,Negotiate,Batch,LogOn,Success
1807,C1737$@DOM1,C1737$@DOM1,C1737,C586,Kerberos,Network,LogOn,Success
1813,C104$@DOM1,C104$@DOM1,C988,C988,?,Network,LogOff,Success
1819,C502$@DOM1,C502$@DOM1,C502,C586,Kerberos,Network,LogOn,Success
1828,C599$@DOM1,C599$@DOM1,C1619,C599,?,?,TGS,Success
1834,U495@DOM1,U495@DOM1,C625,C625,?,Network,LogOff,Success
1842,C1114$@DOM1,C1114$@DOM1,C1085,C1085,?,Network,LogOff,Success
1848,C5123$@DOM1,C5123$@DOM1,C625,C625,?,Network,LogOff,Success
1855,C2102$@DOM1,C2102$@DOM1,C2102,C1065,Kerberos,Network,LogOn,Success
1860,C989$@DOM1,C989$@DOM1,C586,C586,?,Network,LogOff,Success
1867,C1370$@DOM1,C1370$@DOM1,C1370,C529,Kerberos,Network,LogOn,Success
1873,C567$@DOM1,C567$@DOM1,C553,C553,?,Network,LogOff,Success
1879,C2100$@DOM1,C2100$@DOM1,C2101,C612,Kerberos,Network,LogOn,Success
1886,U53@DOM1,U75@DOM1,C1710,C1710,Negotiate,Interactive,LogOn,Success
1893,C2374$@DOM1,C2374$@DOM1,C2375,C586,?,?,TGS,Success
1900,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C286,C586,NTLM,Network,LogOn,Success
1906,C967$@DOM1,C967$@DOM1,C1487,C1487,?,Network,LogOff,Success
1913,U10410@DOM1,U10410@DOM1,C539,C539,?,?,TGT,Success
1920,U1747@DOM1,U1747@DOM1,C161,C586,?,?,TGS,Success
1926,C585$@DOM1,C585$@DOM1,C585,C586,Kerberos,Network,LogOn,Success
1932,C1794$@DOM1,C1794$@DOM1,C101,C101,?,Network,LogOff,Success
1937,C3131$@DOM1,C3131$@DOM1,C3131,C529,NTLM,Network,LogOn,Fail
1942,C5279$@DOM1,C5279$@DOM1,C528,C528,?,Network,LogOff,Success
1948,ANONYMOUS LOGON@C457,ANONYMOUS LOGON@C457,C4237,C457,NTLM,Network,LogOn,Success
1954,C1512$@DOM1,C1512$@DOM1,C1512,C457,Kerberos,Network,LogOn,Success
1960,C2060$@DOM1,C2060$@DOM1,C2060,C2060,?,?,TGS,Success
1967,C599$@DOM1,C599$@DOM1,C1619,C599,?,?,TGS,Success
1975,C1868$@DOM1,C1868$@DOM1,C1868,C528,Kerberos,Network,LogOn,Success
1982,C213$@DOM1,C213$@DOM1,C213,C586,Kerberos,Network,LogOn,Success
1989,C2490$@DOM1,C2490$@DOM1,C457,C457,?,Network,LogOff,Success
1996,U674@DOM1,U674@DOM1,C529,C529,?,Network,LogOff,Success
2004,U14@DOM1,U14@DOM1,C431,C431,?,Network,LogOff,Success
2011,C1652$@DOM1,C1652$@DOM1,C1652,TGT,?,?,TGS,Success
2015,U4@DOM1,U4@DOM1,C229,C229,?,Network,LogOff,Success
2020,U13@DOM1,U13@DOM1,C368,C368,?,Network,LogOff,Success
2025,C3524$@DOM1,C3524$@DOM1,C3524,C457,Kerberos,Network,LogOn,Success
2031,U118@DOM1,U164@DOM1,C1964,C1964,?,?,AuthMap,Success
2041,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C586,C586,?,Network,LogOff,Success
