time,src_user,dst_user,src_computer,dst_computer,auth_type,logon_type,auth_orient,success
122409,U26@dom,U26@dom,C0,C71,Kerberos,Interactive,LogOn,Success
2016716,U27@dom,U27@dom,C53,C91,Negotiate,Network,LogOn,Success
2350770,U28@dom,U28@dom,C2,C30,Negotiate,Service,LogOn,Success
769598,U29@dom,U29@dom,C15,C8,Kerberos,Service,LogOn,Success
1098591,U30@dom,U30@dom,C86,C50,Kerberos,Interactive,LogOn,Success
874371,U31@dom,U31@dom,C56,C28,Negotiate,Interactive,LogOn,Success
1459933,U32@dom,U32@dom,C74,C77,Kerberos,Service,LogOn,Success
1154454,U33@dom,U33@dom,C11,C39,NTLM,Batch,LogOn,Success
973548,U34@dom,U34@dom,C73,C40,NTLM,Service,LogOn,Success
1213475,U35@dom,U35@dom,C95,C85,Kerberos,Interactive,LogOn,Success
2021900,U36@dom,U36@dom,C15,C10,Negotiate,Network,LogOn,Success
999238,U37@dom,U37@dom,C71,C22,Kerberos,Network,LogOn,Success
1928434,U38@dom,U38@dom,C75,C0,Kerberos,Batch,LogOn,Success
379989,U39@dom,U39@dom,C23,C45,Negotiate,Service,LogOn,Success
2512667,U40@dom,U40@dom,C27,C20,Negotiate,Network,LogOn,Success
43585,U41@dom,U41@dom,C7,C89,NTLM,Service,LogOn,Success
1419945,U42@dom,U42@dom,C91,C35,Negotiate,Interactive,LogOn,Success
2161196,U43@dom,U43@dom,C35,C53,NTLM,Network,LogOn,Success
2539448,U44@dom,U44@dom,C89,C86,Negotiate,Batch,LogOn,Success
109556,U45@dom,U45@dom,C7,C56,Kerberos,Interactive,LogOn,Success
1575557,U46@dom,U46@dom,C57,C0,NTLM,Batch,LogOn,Success
2061083,U47@dom,U47@dom,C59,C62,NTLM,Interactive,LogOn,Success
200235,U48@dom,U48@dom,C49,C53,NTLM,Network,LogOn,Success
2123091,U49@dom,U49@dom,C27,C54,Kerberos,Batch,LogOn,Failure
2009021,U0@dom,U0@dom,C91,C39,Kerberos,Batch,LogOn,Success
1201482,U1@dom,U1@dom,C40,C14,Kerberos,Interactive,LogOn,Success
542335,U2@dom,U2@dom,C99,C20,Kerberos,Batch,LogOn,Success
75766,U3@dom,U3@dom,C63,C46,Kerberos,Interactive,LogOn,Success
2506075,U4@dom,U4@dom,C26,C72,NTLM,Interactive,LogOn,Success
2484413,U5@dom,U5@dom,C62,C52,Kerberos,Interactive,LogOn,Success
1701240,U6@dom,U6@dom,C16,C8,NTLM,Interactive,LogOn,Success
984346,U7@dom,U7@dom,C72,C73,Kerberos,Network,LogOn,Success
1503165,U8@dom,U8@dom,C32,C51,Negotiate,Interactive,LogOn,Success
2235000,U9@dom,U9@dom,C83,C56,NTLM,Service,LogOn,Success
127948,U10@dom,U10@dom,C76,C25,Negotiate,Batch,LogOn,Success
1627880,U11@dom,U11@dom,C91,C40,NTLM,Service,LogOn,Success
402690,U12@dom,U12@dom,C28,C34,Negotiate,Network,LogOn,Success
499046,U13@dom,U13@dom,C12,C62,Kerberos,Service,LogOn,Success
2548421,U14@dom,U14@dom,C45,C24,Kerberos,Batch,LogOn,Success
21959,U15@dom,U15@dom,C34,C89,Kerberos,Service,LogOn,Success
1798792,U16@dom,U16@dom,C5,C74,NTLM,Network,LogOn,Success
1954109,U17@dom,U17@dom,C81,C37,Negotiate,Interactive,LogOn,Success
1838756,U18@dom,U18@dom,C68,C1,Kerberos,Service,LogOn,Success
228576,U19@dom,U19@dom,C46,C6,Negotiate,Network,LogOn,Failure
2262990,U20@dom,U20@dom,C24,C81,Negotiate,Network,LogOn,Success
1384250,U21@dom,U21@dom,C65,C90,Kerberos,Batch,LogOn,Success
61087,U22@dom,U22@dom,C9,C33,Kerberos,Batch,LogOn,Success
1013343,U23@dom,U23@dom,C55,C90,Negotiate,Service,LogOn,Success
2082263,U24@dom,U24@dom,C29,C16,Kerberos,Interactive,LogOn,Success
2215603,U25@dom,U25@dom,C4,C42,Kerberos,Network,LogOn,Success
1496176,U26@dom,U26@dom,C32,C58,Kerberos,Service,LogOn,Success
1886013,U27@dom,U27@dom,C64,C50,NTLM,Network,LogOn,Success
439792,U28@dom,U28@dom,C17,C53,Negotiate,Network,LogOn,Success
39353,U29@dom,U29@dom,C95,C23,Negotiate,Interactive,LogOn,Success
2290227,U30@dom,U30@dom,C48,C24,NTLM,Interactive,LogOn,Success
65318,U31@dom,U31@dom,C10,C70,Negotiate,Service,LogOn,Failure
765313,U32@dom,U32@dom,C84,C51,Kerberos,Interactive,LogOn,Failure
1531266,U33@dom,U33@dom,C25,C69,Negotiate,Interactive,LogOn,Success
416880,U34@dom,U34@dom,C62,C87,Kerberos,Service,LogOn,Success
770746,U35@dom,U35@dom,C88,C32,NTLM,Interactive,LogOn,Success
813168,U36@dom,U36@dom,C85,C48,Kerberos,Batch,LogOn,Success
225281,U37@dom,U37@dom,C58,C28,Negotiate,Network,LogOn,Success
1400804,U38@dom,U38@dom,C26,C62,Negotiate,Network,LogOn,Success
1480415,U39@dom,U39@dom,C48,C21,Negotiate,Network,LogOn,Success
269536,U40@dom,U40@dom,C76,C25,NTLM,Network,LogOn,Success
2414976,U41@dom,U41@dom,C32,C27,NTLM,Service,LogOn,Success
1306002,U42@dom,U42@dom,C97,C84,Negotiate,Network,LogOn,Success
177789,U43@dom,U43@dom,C98,C48,Kerberos,Network,LogOn,Success
1561729,U44@dom,U44@dom,C0,C70,NTLM,Network,LogOn,Success
837291,U45@dom,U45@dom,C20,C80,Negotiate,Network,LogOn,Success
2222809,U46@dom,U46@dom,C54,C83,Negotiate,Batch,LogOn,Failure
1283743,U47@dom,U47@dom,C5,C48,NTLM,Network,LogOn,Success
681669,U48@dom,U48@dom,C91,C19,NTLM,Batch,LogOn,Success
1119043,U49@dom,U49@dom,C80,C85,NTLM,Service,LogOn,Success
2206903,U0@dom,U0@dom,C68,C91,Kerberos,Interactive,LogOn,Success
1429626,U1@dom,U1@dom,C94,C62,Kerberos,Network,LogOn,Success
1741093,U2@dom,U2@dom,C4,C60,Negotiate,Interactive,LogOn,Failure
2558231,U3@dom,U3@dom,C2,C48,NTLM,Interactive,LogOn,Success
2465604,U4@dom,U4@dom,C52,C70,Kerberos,Service,LogOn,Success
2018163,U5@dom,U5@dom,C22,C0,NTLM,Interactive,LogOn,Success
106081,U6@dom,U6@dom,C52,C95,Negotiate,Batch,LogOn,Success
1661909,U7@dom,U7@dom,C36,C12,Kerberos,Interactive,LogOn,Success
110078,U8@dom,U8@dom,C73,C93,Kerberos,Interactive,LogOn,Success
1915631,U9@dom,U9@dom,C73,C86,Kerberos,Interactive,LogOn,Success
2119823,U10@dom,U10@dom,C82,C50,Negotiate,Network,LogOn,Success
1466976,U11@dom,U11@dom,C16,C55,NTLM,Network,LogOn,Success
1404104,U12@dom,U12@dom,C84,C82,Kerberos,Batch,LogOn,Success
2008187,U13@dom,U13@dom,C77,C61,Negotiate,Batch,LogOn,Success
1659066,U14@dom,U14@dom,C72,C31,NTLM,Network,LogOn,Success
2148815,U15@dom,U15@dom,C0,C29,Negotiate,Batch,LogOn,Success
311955,U16@dom,U16@dom,C50,C28,NTLM,Network,LogOn,Success
2209699,U17@dom,U17@dom,C44,C48,Negotiate,Service,LogOn,Success
910681,U18@dom,U18@dom,C76,C44,NTLM,Interactive,LogOn,Success
1607618,U19@dom,U19@dom,C3,C92,Kerberos,Interactive,LogOn,Success
142483,U20@dom,U20@dom,C61,C29,NTLM,Batch,LogOn,Success
2033350,U21@dom,U21@dom,C64,C15,Negotiate,Network,LogOn,Success
2311987,U22@dom,U22@dom,C31,C39,Negotiate,Network,LogOn,Success
401896,U23@dom,U23@dom,C33,C18,NTLM,Batch,LogOn,Success
2182048,U24@dom,U24@dom,C91,C17,Kerberos,Network,LogOn,Success
477095,U25@dom,U25@dom,C94,C0,Kerberos,Service,LogOn,Success
71295,U26@dom,U26@dom,C71,C77,NTLM,Interactive,LogOn,Success
743974,U27@dom,U27@dom,C38,C46,NTLM,Batch,LogOn,Failure
887121,U28@dom,U28@dom,C25,C65,Negotiate,Batch,LogOn,Success
1056731,U29@dom,U29@dom,C33,C91,Kerberos,Network,LogOn,Success
825816,U30@dom,U30@dom,C53,C93,NTLM,Batch,LogOn,Success
374705,U31@dom,U31@dom,C2,C37,Kerberos,Service,LogOn,Success
1856926,U32@dom,U32@dom,C49,C50,NTLM,Network,LogOn,Success
1658845,U33@dom,U33@dom,C11,C62,NTLM,Network,LogOn,Success
2026793,U34@dom,U34@dom,C64,C3,Kerberos,Network,LogOn,Success
554594,U35@dom,U35@dom,C53,C0,NTLM,Network,LogOn,Failure
147718,U36@dom,U36@dom,C4,C7,NTLM,Service,LogOn,Success
645263,U37@dom,U37@dom,C93,C28,Negotiate,Network,LogOn,Success
2204664,U38@dom,U38@dom,C93,C54,NTLM,Batch,LogOn,Success
147443,U39@dom,U39@dom,C56,C2,NTLM,Service,LogOn,Success
1519163,U40@dom,U40@dom,C16,C31,NTLM,Interactive,LogOn,Success
373616,U41@dom,U41@dom,C46,C9,Negotiate,Interactive,LogOn,Success
686976,U42@dom,U42@dom,C22,C73,Kerberos,Batch,LogOn,Success
1414447,U43@dom,U43@dom,C78,C82,Negotiate,Batch,LogOn,Success
2472189,U44@dom,U44@dom,C84,C33,Negotiate,Service,LogOn,Success
117796,U45@dom,U45@dom,C13,C96,Kerberos,Interactive,LogOn,Success
1241082,U46@dom,U46@dom,C65,C86,Negotiate,Interactive,LogOn,Success
990198,U47@dom,U47@dom,C74,C54,Kerberos,Interactive,LogOn,Success
698376,U48@dom,U48@dom,C50,C91,Negotiate,Interactive,LogOn,Failure
2366696,U49@dom,U49@dom,C37,C31,Kerberos,Interactive,LogOn,Success
2477154,U0@dom,U0@dom,C63,C49,NTLM,Network,LogOn,Success
698002,U1@dom,U1@dom,C97,C6,Negotiate,Batch,LogOn,Success
1588015,U2@dom,U2@dom,C37,C92,Negotiate,Network,LogOn,Success
1579159,U3@dom,U3@dom,C49,C7,Negotiate,Interactive,LogOn,Success
907317,U4@dom,U4@dom,C97,C64,Negotiate,Service,LogOn,Success
2485367,U5@dom,U5@dom,C81,C56,NTLM,Service,LogOn,Success
321184,U6@dom,U6@dom,C29,C66,Negotiate,Interactive,LogOn,Success
1847191,U7@dom,U7@dom,C78,C87,NTLM,Interactive,LogOn,Success
1471091,U8@dom,U8@dom,C90,C86,NTLM,Service,LogOn,Success
668234,U9@dom,U9@dom,C50,C58,NTLM,Network,LogOn,Success
378480,U10@dom,U10@dom,C62,C71,NTLM,Network,LogOn,Success
2129863,U11@dom,U11@dom,C97,C53,Kerberos,Interactive,LogOn,Success
791971,U12@dom,U12@dom,C51,C66,Kerberos,Network,LogOn,Success
501157,U13@dom,U13@dom,C37,C50,Negotiate,Service,LogOn,Success
184423,U14@dom,U14@dom,C96,C96,Kerberos,Network,LogOn,Success
1752290,U15@dom,U15@dom,C87,C91,Kerberos,Interactive,LogOn,Success
912495,U16@dom,U16@dom,C78,C7,Negotiate,Service,LogOn,Success
1785954,U17@dom,U17@dom,C29,C33,Negotiate,Network,LogOn,Success
133272,U18@dom,U18@dom,C50,C34,Negotiate,Batch,LogOn,Success
767836,U19@dom,U19@dom,C80,C95,Kerberos,Service,LogOn,Success
1126081,U20@dom,U20@dom,C4,C87,Kerberos,Service,LogOn,Success
2100021,U21@dom,U21@dom,C28,C77,Negotiate,Batch,LogOn,Success
781474,U22@dom,U22@dom,C3,C31,NTLM,Batch,LogOn,Success
2551503,U23@dom,U23@dom,C9,C45,Negotiate,Service,LogOn,Success
1360828,U24@dom,U24@dom,C55,C15,NTLM,Batch,LogOn,Success
618467,U25@dom,U25@dom,C16,C67,NTLM,Interactive,LogOn,Success
1138848,U26@dom,U26@dom,C73,C36,Negotiate,Interactive,LogOn,Success
2135619,U27@dom,U27@dom,C16,C53,Negotiate,Interactive,LogOn,Success
877844,U28@dom,U28@dom,C83,C84,Negotiate,Service,LogOn,Success
480047,U29@dom,U29@dom,C87,C13,Kerberos,Batch,LogOn,Success
1707923,U30@dom,U30@dom,C68,C94,NTLM,Batch,LogOn,Success
1107447,U31@dom,U31@dom,C33,C54,Kerberos,Network,LogOn,Success
939903,U32@dom,U32@dom,C5,C47,Kerberos,Network,LogOn,Success
128391,U33@dom,U33@dom,C52,C81,Negotiate,Batch,LogOn,Success
2536582,U34@dom,U34@dom,C65,C6,Kerberos,Batch,LogOn,Success
1017026,U35@dom,U35@dom,C76,C73,Negotiate,Batch,LogOn,Success
1659280,U36@dom,U36@dom,C42,C6,NTLM,Service,LogOn,Success
1905279,U37@dom,U37@dom,C74,C32,Negotiate,Batch,LogOn,Success
2353839,U38@dom,U38@dom,C22,C22,Kerberos,Network,LogOn,Success
107450,U39@dom,U39@dom,C54,C84,Kerberos,Service,LogOn,Success
2269042,U40@dom,U40@dom,C79,C18,Negotiate,Batch,LogOn,Success
2535893,U41@dom,U41@dom,C94,C18,Negotiate,Network,LogOn,Success
2379126,U42@dom,U42@dom,C74,C35,Kerberos,Service,LogOn,Success
1983509,U43@dom,U43@dom,C15,C28,NTLM,Batch,LogOn,Success
116381,U44@dom,U44@dom,C7,C59,NTLM,Batch,LogOn,Success
1521701,U45@dom,U45@dom,C3,C81,Negotiate,Batch,LogOn,Success
1620197,U46@dom,U46@dom,C3,C1,NTLM,Service,LogOn,Success
2231660,U47@dom,U47@dom,C55,C0,Kerberos,Network,LogOn,Success
1778226,U48@dom,U48@dom,C24,C46,Negotiate,Network,LogOn,Success
1911221,U49@dom,U49@dom,C66,C68,Kerberos,Interactive,LogOn,Success
1199386,U0@dom,U0@dom,C95,C19,Kerberos,Batch,LogOn,Success
2014484,U1@dom,U1@dom,C66,C10,NTLM,Interactive,LogOn,Success
2457184,U2@dom,U2@dom,C26,C1,Negotiate,Interactive,LogOn,Success
1418175,U3@dom,U3@dom,C92,C66,Negotiate,Network,LogOn,Success
729903,U4@dom,U4@dom,C31,C86,NTLM,Service,LogOn,Success
2142866,U5@dom,U5@dom,C49,C11,Kerberos,Service,LogOn,Success
1515536,U6@dom,U6@dom,C60,C19,Kerberos,Network,LogOn,Success
1760427,U7@dom,U7@dom,C50,C4,Kerberos,Service,LogOn,Success
124123,U8@dom,U8@dom,C18,C36,Kerberos,Interactive,LogOn,Success
936093,U9@dom,U9@dom,C20,C37,Negotiate,Batch,LogOn,Success
1131565,U10@dom,U10@dom,C4,C93,Negotiate,Network,LogOn,Success
178274,U11@dom,U11@dom,C81,C8,NTLM,Batch,LogOn,Success
2509079,U12@dom,U12@dom,C91,C97,NTLM,Service,LogOn,Success
1931760,U13@dom,U13@dom,C41,C52,Negotiate,Batch,LogOn,Success
131373,U14@dom,U14@dom,C60,C43,Negotiate,Service,LogOn,Success
115294,U15@dom,U15@dom,C21,C98,Kerberos,Service,LogOn,Success
2020320,U16@dom,U16@dom,C20,C85,Kerberos,Interactive,LogOn,Success
648307,U17@dom,U17@dom,C69,C23,NTLM,Service,LogOn,Success
2162878,U18@dom,U18@dom,C0,C80,Negotiate,Interactive,LogOn,Success
141564,U19@dom,U19@dom,C4,C73,NTLM,Interactive,LogOn,Success
1426388,U20@dom,U20@dom,C11,C29,Negotiate,Interactive,LogOn,Failure
2067359,U21@dom,U21@dom,C89,C58,Kerberos,Network,LogOn,Success
2365398,U22@dom,U22@dom,C45,C86,NTLM,Network,LogOn,Success
2215167,U23@dom,U23@dom,C33,C95,NTLM,Service,LogOn,Success
2351231,U24@dom,U24@dom,C48,C80,Negotiate,Interactive,LogOn,Success
689944,U25@dom,U25@dom,C77,C80,Kerberos,Network,LogOn,Success
688105,U26@dom,U26@dom,C89,C13,NTLM,Interactive,LogOn,Success
1989173,U27@dom,U27@dom,C44,C8,Kerberos,Batch,LogOn,Success
1414466,U28@dom,U28@dom,C26,C39,NTLM,Batch,LogOn,Success
445101,U29@dom,U29@dom,C72,C65,Kerberos,Batch,LogOn,Success
2133783,U30@dom,U30@dom,C25,C24,Negotiate,Service,LogOn,Success
1052590,U31@dom,U31@dom,C46,C72,NTLM,Interactive,LogOn,Success
1066646,U32@dom,U32@dom,C85,C21,NTLM,Batch,LogOn,Success
1870785,U33@dom,U33@dom,C55,C3,Kerberos,Network,LogOn,Success
1105534,U34@dom,U34@dom,C93,C25,Kerberos,Batch,LogOn,Success
1583593,U35@dom,U35@dom,C62,C57,NTLM,Batch,LogOn,Success
1803649,U36@dom,U36@dom,C47,C28,Negotiate,Batch,LogOn,Success
1224665,U37@dom,U37@dom,C60,C97,Kerberos,Service,LogOn,Success
2294544,U38@dom,U38@dom,C80,C86,Kerberos,Network,LogOn,Success
158823,U39@dom,U39@dom,C25,C36,Kerberos,Interactive,LogOn,Failure
1441578,U40@dom,U40@dom,C35,C74,NTLM,Network,LogOn,Success
498863,U41@dom,U41@dom,C0,C69,NTLM,Interactive,LogOn,Success
367654,U42@dom,U42@dom,C7,C17,NTLM,Service,LogOn,Failure
2332514,U43@dom,U43@dom,C98,C84,NTLM,Service,LogOn,Success
1492785,U44@dom,U44@dom,C51,C41,Negotiate,Service,LogOn,Success
797079,U45@dom,U45@dom,C78,C99,Negotiate,Service,LogOn,Failure
664076,U46@dom,U46@dom,C46,C40,NTLM,Interactive,LogOn,Success
2317115,U47@dom,U47@dom,C55,C37,Negotiate,Batch,LogOn,Success
2577913,U48@dom,U48@dom,C85,C33,Kerberos,Interactive,LogOn,Success
1297286,U49@dom,U49@dom,C13,C16,Kerberos,Network,LogOn,Success
2318136,U0@dom,U0@dom,C89,C36,Kerberos,Service,LogOn,Success
1905324,U1@dom,U1@dom,C27,C24,NTLM,Service,LogOn,Success
2361664,U2@dom,U2@dom,C86,C75,Kerberos,Network,LogOn,Success
1286125,U3@dom,U3@dom,C77,C86,Negotiate,Interactive,LogOn,Success
1532875,U4@dom,U4@dom,C87,C85,NTLM,Batch,LogOn,Success
